r.var.name,inflate,Label,HES1988,HES1993,HES1998,HES2003,HES2009,HES2015
total.ind.benefits.cents,,Indirect benefits - weekly household total social transfers in kind (in cents),IBEN,IBEN,,,,
ind.health,,Indirect health benefits - weekly household total social transfers in kind for health,,,,UHLTOT,UHLTOT,UHLTOT
ind.health.cents,,Indirect health benefits - weekly household total social transfers in kind for health (in cents),UHLTOT,UHLTOT,UHLTOT,,,
ind.edu,,Indirect education benefits - weekly household total social transfers in kind for education,,,,EDUB,EDUB,EDUB
ind.edu.cents,,Indirect education benefits - weekly household total social transfers in kind for education (in cents),EDUB,EDUB,EDUB,,,
ind.welfare,,Indirect welfare - weekly household social transfers in kind for welfare (FIS),,TOTWELFB,,TOTWELFB,TOTWELFB,TOTWELFB
ind.welfare.cents,,Indirect welfare - weekly household social transfers in kind for welfare (FIS) (in cents),,,TOTWELFB,,,
ind.childcare.assist,,Indirect childcare support - weekly household social transfers in kind for child care assistance (FIS),,,,WKLYCCB,WKLYCCA,WKLYCCAH
childcare.benefit,,Weekly HH Child Care Benefit,,,,,WKLYCCBF,WKLYCCBH
childcare.rebate,,Weekly HH Child Care Rebate,,,,,WKLYCCRF,WKLYCCRH
fin.stress.comm.org,,Assistance sought from welfare/community organisations due to shortage of money,,,CFWELFAR ,CFWELFAR,CFWELFAR,CFWELFAR
fin.stress.pawned,,Pawned or sold something due to shortage of money,,,CFPAWNSO,CFPAWNSO,CFPAWNSO,CFPAWNSO
fin.stress.family.help,,Sought financial help from friends/family due to a shortage of money,,,CFFAMILY,CFFAMILY,CFFAMILY,CFFAMILY
fin.stress.heating,,Unable to heat home due to shortage of money,,,CFNOHEAT,CFNOHEAT,CFNOHEAT,CFNOHEAT
fin.stress.skipped.meals,,Went without meals due to shortage of money,,,CFNOMEAL,CFNOMEAL,CFNOMEAL,CFNOMEAL
fin.stress.late.bills,,Whether could not pay gas/electricity/telephone bill on time due to shortage of money,,,CFELECTR,CFELECTR,CFELECTR,CFELECTR
fin.stress.late.rego,,Whether could not pay registration/insurance on time due to shortage of money,,,CFREGOIN,CFREGOIN,CFREGOIN,CFREGOIN
fin.stress.emergency.money,,Ability of household to raise emergency money,,,EMGMONEY,EMGMONEY,EMGMONEY,EMGMONEY
hh.std.living,,,,,,,STDLIVE,STDLIVE
hh.fin.missing.out,,,,,,,,CFSTSSMO
hh.fin.stress,,,,,,,,CFSTRSS
hh.fin.stress.missing.out,,,,,,,,TCFSTRSS
Rent.assistance.amount,Yes,,,,,,,CWKCRAH
tenure,,,,DTENU,DTENU,TENURECF,TENURECF,TENURECF
pension.source,,,,,,,PSINC,PSINC
