variable_name_letters,number,label,variable_name
UUUAAGI,0,Not applicable/ not asked,UUU0068
UUUAAHA,0,Not applicable/ not asked,UUU0070
UUUAAHC,0,Not applicable/ not asked,UUU0072
UUUAAHE,0,Not applicable/ not asked,UUU0074
UUUAAHG,0,Not applicable/ not asked,UUU0076
UUUAAHI,0,Not applicable/ not asked,UUU0078
UUUAAIA,0,Not applicable/ not asked,UUU0080
UUUAAIC,0,Not applicable/ not asked,UUU0082
UUUAAIE,0,Not applicable/ not asked,UUU0084
UUUAAIG,0,Not applicable/ not asked,UUU0086
UUUAAII,0,Not applicable/ not asked,UUU0088
UUUAAJA,0,Not applicable/ not asked,UUU0090
UUUAAJC,0,Not applicable/ not asked,UUU0092
UUUAAJE,0,Not applicable/ not asked,UUU0094
UUUAAJG,0,Not applicable/ not asked,UUU0096
UUUAAJI,0,Not applicable/ not asked,UUU0098
UUUABAA,0,Not applicable/ not asked,UUU0100
UUUABAC,0,Not applicable/ not asked,UUU0102
UUUABAE,0,Not applicable/ not asked,UUU0104
UUUABAG,0,Not applicable/ not asked,UUU0106
UUUABAI,0,Not applicable/ not asked,UUU0108
UUUABBA,0,Not applicable/ not asked,UUU0110
UUUABBC,0,Not applicable/ not asked,UUU0112
UUUABBE,0,Not applicable/ not asked,UUU0114
UUUABBG,0,Not applicable/ not asked,UUU0116
UUUABBI,0,Not applicable/ not asked,UUU0118
UUUABCA,0,Not applicable/ not asked,UUU0120
UUUABCC,0,Not applicable/ not asked,UUU0122
UUUABCE,0,Not applicable/ not asked,UUU0124
UUUABCG,0,Not applicable/ not asked,UUU0126
UUUABCI,0,Not applicable/ not asked,UUU0128
UUUABDA,0,Not applicable/ not asked,UUU0130
UUUABDC,0,Not applicable/ not asked,UUU0132
UUUABDE,0,Not applicable/ not asked,UUU0134
UUUABDG,0,Not applicable/ not asked,UUU0136
UUUABDI,0,Not applicable/ not asked,UUU0138
UUUABEA,0,Not applicable/ not asked,UUU0140
UUUABEC,0,Not applicable/ not asked,UUU0142
UUUABEE,0,Not applicable/ not asked,UUU0144
UUUABEG,0,Not applicable/ not asked,UUU0146
UUUABEI,0,Not applicable/ not asked,UUU0148
UUUABFA,0,Not applicable/ not asked,UUU0150
UUUABFC,0,Not applicable/ not asked,UUU0152
UUUABFE,0,Not applicable/ not asked,UUU0154
UUUABFG,0,Not applicable/ not asked,UUU0156
UUUABFI,0,Not applicable/ not asked,UUU0158
UUUABFJ,0,Not applicable,UUU0159
UUUABGB,0,Not applicable/ not asked,UUU0161
UUUABGD,0,Not applicable/ not asked,UUU0163
UUUABGF,0,Not applicable/ not asked,UUU0165
UUUABGH,0,Not applicable/ not asked,UUU0167
UUUABGJ,0,Not applicable/ not asked,UUU0169
UUUABHB,0,Not applicable/ not asked,UUU0171
UUUABHD,0,Not applicable/ not asked,UUU0173
UUUABHF,0,Not applicable/ not asked,UUU0175
UUUABHH,0,Not applicable/ not asked,UUU0177
UUUABHJ,0,Not applicable/ not asked,UUU0179
UUUABIB,0,Not applicable/ not asked,UUU0181
UUUABID,0,Not applicable/ not asked,UUU0183
UUUABIF,0,Not applicable/ not asked,UUU0185
UUUABIH,0,Not applicable/ not asked,UUU0187
UUUABIJ,0,Not applicable/ not asked,UUU0189
UUUABJB,0,Not applicable/ not asked,UUU0191
UUUABJD,0,Not applicable/ not asked,UUU0193
UUUABJF,0,Not applicable/ not asked,UUU0195
UUUABJH,0,Not applicable/ not asked,UUU0197
PPPAAAG,0,Not applicable (excl from upper level tables),PPP0006
PPPAAAJ,0,Not applicable (excl from upper level tables),PPP0009
PPPAABA,0,Not applicable,PPP0010
PPPAABD,0,Not applicable,PPP0013
PPPAABF,0,Not applicable/ not asked,PPP0015
PPPAABH,0,Not applicable/ not asked,PPP0017
PPPAABJ,0,Not applicable/ not asked,PPP0019
PPPAACB,0,Not applicable/ not asked,PPP0021
PPPAACC,0,N.A.,PPP0022
PPPAACE,0,Not applicable/ not asked,PPP0024
PPPAACI,0,Not applicable,PPP0028
PPPAADA,0,Not applicable,PPP0030
PPPAADB,0,Not applicable (exluded from upperlevel tables),PPP0031
PPPAADC,0,Not applicable (exluded from upperlevel tables),PPP0032
PPPAADD,0,Not applicable (exluded from upper level tables),PPP0033
PPPAADE,0,Not applicable (exluded from upper level tables),PPP0034
PPPAADF,0,Not applicable,PPP0035
PPPAADG,0,Not applicable,PPP0036
PPPAADH,0,Not applicable,PPP0037
PPPAADI,0,Not applicable,PPP0038
PPPAADJ,0,Not applicable,PPP0039
PPPAAEA,0,Not applicable,PPP0040
PPPAAEB,0,Not applicable,PPP0041
PPPAAEC,0,Not applicable,PPP0042
PPPAAED,0,Not applicable,PPP0043
PPPAAEE,0,Not applicable,PPP0044
PPPAAEF,0,Not applicable,PPP0045
PPPAAEG,0,Not applicable,PPP0046
PPPAAEH,0,Not applicable,PPP0047
PPPAAEI,0,Not applicable,PPP0048
PPPAAEJ,0,Not applicable,PPP0049
PPPAAFA,0,Not applicable,PPP0050
PPPAAFB,0,Not applicable,PPP0051
PPPAAFC,0,Not applicable,PPP0052
PPPAAFD,0,Not applicable,PPP0053
PPPAAFE,0,Not applicable,PPP0054
PPPAAFF,0,Not applicable,PPP0055
PPPAAFG,0,Not applicable,PPP0056
PPPAAFH,0,Not applicable,PPP0057
PPPAAFI,0,Not applicable,PPP0058
PPPAAFJ,0,Not applicable,PPP0059
PPPAAGA,0,Not applicable/ no weeks,PPP0060
PPPAAGB,0,Not applicable/ no weeks,PPP0061
PPPAAGC,0,Not applicable/ no weeks,PPP0062
PPPAAGD,0,Not applicable/ no weeks,PPP0063
PPPAAGE,0,Not applicable/ no weeks,PPP0064
PPPAAGF,0,Not applicable/ no weeks,PPP0065
PPPAAGG,0,Not applicable/ no weeks,PPP0066
PPPAAGH,0,Not applicable/ no weeks,PPP0067
PPPAAGI,0,Not applicable,PPP0068
PPPAAGJ,0,"Not applicable (respondent is stillat school or studying full time, ora dependent child etc)",PPP0069
PPPAAHA,0,"Not applicable (respondent is stillat school or studying full time, ora dependent child etc)",PPP0070
PPPAAHC,0,Not applicable/ not asked,PPP0072
PPPAAHE,0,Not applicable/ not asked,PPP0074
PPPAAHG,0,Not applicable/ not asked,PPP0076
PPPAAHI,0,Not applicable/ not asked,PPP0078
PPPAAIA,0,Not applicable/ not asked,PPP0080
PPPAAIC,0,Not applicable/ not asked,PPP0082
PPPAAIE,0,Not applicable/ not asked,PPP0084
PPPAAIG,0,Not applicable/ not asked,PPP0086
PPPAAIH,0,Not applicable,PPP0087
PPPAAIJ,0,Not applicable/ not asked,PPP0089
PPPAAJB,0,Not applicable/ not asked,PPP0091
PPPAAJD,0,Not applicable/ not asked,PPP0093
PPPAAJF,0,Not applicable/ not asked,PPP0095
PPPAAJH,0,Not applicable/ not asked,PPP0097
PPPAAJJ,0,Not applicable/ not asked,PPP0099
PPPABAB,0,Not applicable/ not asked,PPP0101
PPPABAD,0,Not applicable/ not asked,PPP0103
PPPABAF,0,Not applicable/ not asked,PPP0105
PPPABAH,0,Not applicable/ not asked,PPP0107
PPPABAJ,0,Not applicable/ not asked,PPP0109
PPPABBB,0,Not applicable/ not asked,PPP0111
PPPABBD,0,Not applicable/ not asked,PPP0113
PPPABBF,0,Not applicable/ not asked,PPP0115
PPPABBH,0,Not applicable/ not asked,PPP0117
PPPABBJ,0,Not applicable/ not asked,PPP0119
PPPABCB,0,Not applicable/ not asked,PPP0121
PPPABCD,0,Not applicable/ not asked,PPP0123
PPPABCF,0,Not applicable/ not asked,PPP0125
PPPABCH,0,Not applicable/ not asked,PPP0127
PPPABCJ,0,Not applicable/ not asked,PPP0129
PPPABDB,0,Not applicable/ not asked,PPP0131
PPPABDD,0,Not applicable/ not asked,PPP0133
PPPABDF,0,Not applicable/ not asked,PPP0135
PPPABDH,0,Not applicable/ not asked,PPP0137
PPPABDJ,0,Not applicable/ not asked,PPP0139
PPPABEB,0,Not applicable/ not asked,PPP0141
PPPABED,0,Not applicable/ not asked,PPP0143
PPPABEF,0,Not applicable/ not asked,PPP0145
PPPABEH,0,Not applicable/ not asked,PPP0147
PPPABEJ,0,Not applicable/ not asked,PPP0149
PPPABFB,0,Not applicable/ not asked,PPP0151
PPPABFD,0,Not applicable/ not asked,PPP0153
PPPABFF,0,Not applicable/ not asked,PPP0155
PPPABFH,0,Not applicable/ not asked,PPP0157
PPPABFJ,0,Not applicable/ not asked,PPP0159
PPPABGB,0,Not applicable/ not asked,PPP0161
PPPABGD,0,Not applicable/ not asked,PPP0163
PPPABGF,0,Not applicable/ not asked,PPP0165
PPPABGH,0,Not applicable/ not asked,PPP0167
PPPABGJ,0,Not applicable/ not asked,PPP0169
PPPABHB,0,Not applicable/ not asked,PPP0171
PPPABHC,0,Not applicable/ no weeks,PPP0172
PPPABHD,0,Not applicable/ no weeks,PPP0173
PPPABHE,0,Not applicable/ no weeks,PPP0174
PPPABHF,0,Not applicable/ no weeks,PPP0175
PPPABHG,0,Not applicable/ no weeks,PPP0176
PPPABHH,0,Not applicable/ no weeks,PPP0177
PPPABHI,0,Not applicable/ no weeks,PPP0178
PPPABHJ,0,Not applicable/ no weeks,PPP0179
PPPABIA,0,Not applicable/ no weeks,PPP0180
PPPABIB,0,Not applicable/ no weeks,PPP0181
PPPABIC,0,Not applicable/ no weeks,PPP0182
PPPABID,0,Not applicable/ no weeks,PPP0183
PPPABIE,0,Not applicable/ no weeks,PPP0184
PPPABIF,0,Not applicable/ no weeks,PPP0185
PPPABIG,0,Not applicable/ no weeks,PPP0186
PPPABIH,0,Not applicable/ no weeks,PPP0187
PPPABII,0,Not applicable/ no weeks,PPP0188
PPPABIJ,0,Not applicable/ no weeks,PPP0189
PPPABJA,0,"Not applicable, or no government benefits, (but some income) received",PPP0190
PPPABJB,0,"Not applicable, or no government benefits, (but some income) received",PPP0191
PPPABJD,0,Not applicable/ not asked,PPP0193
PPPABJF,0,Not applicable/ not asked,PPP0195
PPPABJH,0,Not applicable/ not asked,PPP0197
PPPABJJ,0,Not applicable/ not asked,PPP0199
PPPACAB,0,Not applicable/ not asked,PPP0201
PPPACAD,0,Not applicable/ not asked,PPP0203
PPPACAF,0,Not applicable/ not asked,PPP0205
PPPACAH,0,Not applicable/ not asked,PPP0207
PPPACAJ,0,Not applicable/ not asked,PPP0209
PPPACBB,0,Not applicable/ not asked,PPP0211
PPPACBD,0,Not applicable/ not asked,PPP0213
PPPACBE,0,0 LUMPSUM SUPER YEAR REC NA PSN,PPP0214
PPPACBF,0,Not applicable,PPP0215
PPPACBG,0,Not applicable,PPP0216
PPPACBH,0,Not applicable,PPP0217
PPPACBJ,0,Not applicable/ not asked,PPP0219
PPPACCB,0,Not applicable/ not asked,PPP0221
PPPACCD,0,Not applicable/ not asked,PPP0223
PPPACCF,0,Not applicable/ not asked,PPP0225
PPPACCH,0,Not applicable/ not asked,PPP0227
PPPACCJ,0,Not applicable/ not asked,PPP0229
PPPACDB,0,Not applicable/ not asked,PPP0231
PPPACDD,0,Not applicable/ not asked,PPP0233
PPPACDF,0,Not applicable/ not asked,PPP0235
PPPACDH,0,Not applicable/ not asked,PPP0237
PPPACDI,0,Not applicable/ no weeks,PPP0238
PPPACEA,0,Not applicable/ not asked,PPP0240
PPPACEC,0,Not applicable/ not asked,PPP0242
PPPACEE,0,Not applicable/ not asked,PPP0244
PPPACEG,0,Not applicable/ not asked,PPP0246
PPPACEI,0,Not applicable/ not asked,PPP0248
PPPACFA,0,Not applicable/ not asked,PPP0250
PPPACFC,0,Not applicable/ not asked,PPP0252
UUUAAAD,1,The family containing the household head,UUU0003
UUUAAAE,1,Income unit with family head,UUU0004
UUUAAAF,1,Married couple only,UUU0005
UUUAAAG,1,1 person,UUU0006
UUUAAAH,1,Income unit excluded from both current and period income tables,UUU0007
UUUAAAI,1,Family excluded from both current and period income tables,UUU0008
UUUAAAJ,1,Household excluded from both current and period income tables,UUU0009
UUUAABA,1,Incomplete household -may not be included in upper level analysis;,UUU0010
UUUAABB,1,New South Wales,UUU0011
UUUAABC,1,1 person aged 0 to 14 years,UUU0012
UUUAABD,1,1 person aged 15 to 64 years,UUU0013
UUUAABE,1,1 person aged 65 to 99 years,UUU0014
UUUAABF,1,1 dependent child,UUU0015
UUUAABG,1,1 dependent child aged 0 to 4 years,UUU0016
UUUAABH,1,1 dependent child aged 5 to 9 years,UUU0017
UUUAABI,1,1 dependent child aged 10 to 12 years,UUU0018
UUUAABJ,1,1 dependent child aged 13 to 14 years,UUU0019
UUUAACA,1,1 dependent child aged 15 to 20 years,UUU0020
UUUAACB,1,1 year old,UUU0021
UUUAACC,1,Male,UUU0022
UUUAACD,1,Married/de facto,UUU0023
UUUAACE,1,Aged 15 years,UUU0024
UUUAACF,1,Australia,UUU0025
UUUAACG,1,Prior to 1950,UUU0026
UUUAACH,1,Aged 15 years,UUU0027
UUUAACI,1,Australia,UUU0028
UUUAACJ,1,Prior to 1950,UUU0029
UUUAADA,1,Owned outright,UUU0030
UUUAADB,1,1 dependent child aged 15 years,UUU0031
UUUAADC,1,Separate house,UUU0032
UUUAADD,1,Wage and salary,UUU0033
UUUAADE,1,Wage and salary,UUU0034
UUUAADF,1,1-19% government pensions and benefits,UUU0035
UUUAADG,1,1 dependent child aged 16 to 17 years,UUU0036
UUUAADH,1,1 dependent child aged 18 to 20 years,UUU0037
UUUAADI,1,1-19% government pensions and benefits,UUU0038
UUUAAEB,1,Asked and accurate,UUU0041
UUUAAED,1,Asked and accurate,UUU0043
UUUAAEF,1,Asked and accurate,UUU0045
UUUAAEH,1,Asked and accurate,UUU0047
UUUAAEJ,1,Asked and accurate,UUU0049
UUUAAFA,1,1 bedroom,UUU0050
UUUAAFC,1,Asked and accurate,UUU0052
UUUAAFE,1,Asked and accurate,UUU0054
UUUAAFG,1,Asked and accurate,UUU0056
UUUAAFI,1,Asked and accurate,UUU0058
UUUAAGA,1,Asked and accurate,UUU0060
UUUAAGC,1,Asked and accurate,UUU0062
UUUAAGE,1,Asked and accurate,UUU0064
UUUAAGG,1,Asked and accurate,UUU0066
UUUAAGI,1,Asked and accurate,UUU0068
UUUAAHA,1,Asked and accurate,UUU0070
UUUAAHC,1,Asked and accurate,UUU0072
UUUAAHE,1,Asked and accurate,UUU0074
UUUAAHG,1,Asked and accurate,UUU0076
UUUAAHI,1,Asked and accurate,UUU0078
UUUAAIA,1,Asked and accurate,UUU0080
UUUAAIC,1,Asked and accurate,UUU0082
UUUAAIE,1,Asked and accurate,UUU0084
UUUAAIG,1,Asked and accurate,UUU0086
UUUAAII,1,Asked and accurate,UUU0088
UUUAAJA,1,Asked and accurate,UUU0090
UUUAAJC,1,Asked and accurate,UUU0092
UUUAAJE,1,Asked and accurate,UUU0094
UUUAAJG,1,Asked and accurate,UUU0096
UUUAAJI,1,Asked and accurate,UUU0098
UUUABAA,1,Asked and accurate,UUU0100
UUUABAC,1,Asked and accurate,UUU0102
UUUABAE,1,Asked and accurate,UUU0104
UUUABAG,1,Asked and accurate,UUU0106
UUUABAI,1,Asked and accurate,UUU0108
UUUABBA,1,Asked and accurate,UUU0110
UUUABBC,1,Asked and accurate,UUU0112
UUUABBE,1,Asked and accurate,UUU0114
UUUABBG,1,Asked and accurate,UUU0116
UUUABBI,1,Asked and accurate,UUU0118
UUUABCA,1,Asked and accurate,UUU0120
UUUABCC,1,Asked and accurate,UUU0122
UUUABCE,1,Asked and accurate,UUU0124
UUUABCG,1,Asked and accurate,UUU0126
UUUABCI,1,Asked and accurate,UUU0128
UUUABDA,1,Asked and accurate,UUU0130
UUUABDC,1,Asked and accurate,UUU0132
UUUABDE,1,Asked and accurate,UUU0134
UUUABDG,1,Asked and accurate,UUU0136
UUUABDI,1,Asked and accurate,UUU0138
UUUABEA,1,Asked and accurate,UUU0140
UUUABEC,1,Asked and accurate,UUU0142
UUUABEE,1,Asked and accurate,UUU0144
UUUABEG,1,Asked and accurate,UUU0146
UUUABEI,1,Asked and accurate,UUU0148
UUUABFA,1,Asked and accurate,UUU0150
UUUABFC,1,Asked and accurate,UUU0152
UUUABFE,1,Asked and accurate,UUU0154
UUUABFG,1,Asked and accurate,UUU0156
UUUABFI,1,Asked and accurate,UUU0158
UUUABFJ,1,Army reserve,UUU0159
UUUABGB,1,Asked and accurate,UUU0161
UUUABGD,1,Asked and accurate,UUU0163
UUUABGF,1,Asked and accurate,UUU0165
UUUABGH,1,Asked and accurate,UUU0167
UUUABGJ,1,Asked and accurate,UUU0169
UUUABHB,1,Asked and accurate,UUU0171
UUUABHD,1,Asked and accurate,UUU0173
UUUABHF,1,Asked and accurate,UUU0175
UUUABHH,1,Asked and accurate,UUU0177
UUUABHJ,1,Asked and accurate,UUU0179
UUUABIB,1,Asked and accurate,UUU0181
UUUABID,1,Asked and accurate,UUU0183
UUUABIF,1,Asked and accurate,UUU0185
UUUABIH,1,Asked and accurate,UUU0187
UUUABIJ,1,Asked and accurate,UUU0189
UUUABJB,1,Asked and accurate,UUU0191
UUUABJD,1,Asked and accurate,UUU0193
UUUABJF,1,Asked and accurate,UUU0195
UUUABJH,1,Asked and accurate,UUU0197
PPPAAAD,1,The family containing the household head,PPP0003
PPPAAAE,1,Income unit containing the household head,PPP0004
PPPAAAF,1,Head of the income unit,PPP0005
PPPAAAG,1,"Married couple, husband under 65 yrs of age",PPP0006
PPPAAAH,1,Person excluded from both current and period income tables,PPP0007
PPPAAAI,1,New South Wales,PPP0008
PPPAAAJ,1,Married couple with no dependent and no non-dependent children or other relatives,PPP0009
PPPAABA,1,Person living alone,PPP0010
PPPAABB,1,Usual resident of a private dwelling,PPP0011
PPPAABC,1,Separate house,PPP0012
PPPAABD,1,Owned outright,PPP0013
PPPAABF,1,Asked and accurate,PPP0015
PPPAABH,1,Asked and accurate,PPP0017
PPPAABJ,1,Asked and accurate,PPP0019
PPPAACB,1,Asked and accurate,PPP0021
PPPAACC,1,1 bedroom,PPP0022
PPPAACE,1,Asked and accurate,PPP0024
PPPAACF,1,Male,PPP0025
PPPAACG,1,Aged 15 years,PPP0026
PPPAACH,1,Married,PPP0027
PPPAACI,1,One month,PPP0028
PPPAACJ,1,Australia,PPP0029
PPPAADA,1,Prior to 1950,PPP0030
PPPAADB,1,Head of household,PPP0031
PPPAADC,1,Head of family,PPP0032
PPPAADD,1,Head of income unit,PPP0033
PPPAADE,1,Husband with dependent children,PPP0034
PPPAADF,1,Not away from Australia,PPP0035
PPPAADG,1,Still at school,PPP0036
PPPAADH,1,Full-time only,PPP0037
PPPAADI,1,Still at school,PPP0038
PPPAADJ,1,"Degree - Administration, business studies, commerce",PPP0039
PPPAAEA,1,Never went to school,PPP0040
PPPAAEB,1,Permanently unable to work,PPP0041
PPPAAEC,1,Wage and salary earners full-time/part-time,PPP0042
PPPAAED,1,Wage and salary earners full-time/part-time,PPP0043
PPPAAEE,1,Full-time,PPP0044
PPPAAEF,1,Full-time,PPP0045
PPPAAEG,1,Worked more than 49 weeks in year.Less than half part-time.,PPP0046
PPPAAEH,1,"Agriculture,forestry, fishing and hunting",PPP0047
PPPAAEI,1,"Agriculture,forestry, fishing and hunting",PPP0048
PPPAAEJ,1,Government,PPP0049
PPPAAFA,1,Government,PPP0050
PPPAAFB,1,Managers and administrators,PPP0051
PPPAAFC,1,Managers and administrators,PPP0052
PPPAAFD,1,Managers and administrators,PPP0053
PPPAAFE,1,0 to 9 hours per week,PPP0054
PPPAAFF,1,0 to 9 hours per week,PPP0055
PPPAAFG,1,0 to 9 hours per week,PPP0056
PPPAAFH,1,0 to 9 hours per week,PPP0057
PPPAAFI,1,0 to 9 hours per week,PPP0058
PPPAAFJ,1,0 to 9 hours per week,PPP0059
PPPAAGA,1,01 week,PPP0060
PPPAAGB,1,01 week,PPP0061
PPPAAGC,1,01 week,PPP0062
PPPAAGD,1,01 week,PPP0063
PPPAAGE,1,01 week,PPP0064
PPPAAGF,1,01 week,PPP0065
PPPAAGG,1,01 week,PPP0066
PPPAAGH,1,01 week,PPP0067
PPPAAGI,1,One period,PPP0068
PPPAAGJ,1,Wage and salary,PPP0069
PPPAAHA,1,Wage and salary,PPP0070
PPPAAHC,1,Asked and accurate,PPP0072
PPPAAHE,1,Asked and accurate,PPP0074
PPPAAHG,1,Asked and accurate,PPP0076
PPPAAHI,1,Asked and accurate,PPP0078
PPPAAIA,1,Asked and accurate,PPP0080
PPPAAIC,1,Asked and accurate,PPP0082
PPPAAIE,1,Asked and accurate,PPP0084
PPPAAIG,1,Asked and accurate,PPP0086
PPPAAIH,1,Limited liability trustee,PPP0087
PPPAAIJ,1,Asked and accurate,PPP0089
PPPAAJB,1,Asked and accurate,PPP0091
PPPAAJD,1,Asked and accurate,PPP0093
PPPAAJF,1,Asked and accurate,PPP0095
PPPAAJH,1,Asked and accurate,PPP0097
PPPAAJJ,1,Asked and accurate,PPP0099
PPPABAB,1,Asked and accurate,PPP0101
PPPABAD,1,Asked and accurate,PPP0103
PPPABAF,1,Asked and accurate,PPP0105
PPPABAH,1,Asked and accurate,PPP0107
PPPABAJ,1,Asked and accurate,PPP0109
PPPABBB,1,Asked and accurate,PPP0111
PPPABBD,1,Asked and accurate,PPP0113
PPPABBF,1,Asked and accurate,PPP0115
PPPABBH,1,Asked and accurate,PPP0117
PPPABBJ,1,Asked and accurate,PPP0119
PPPABCB,1,Asked and accurate,PPP0121
PPPABCD,1,Asked and accurate,PPP0123
PPPABCF,1,Asked and accurate,PPP0125
PPPABCH,1,Asked and accurate,PPP0127
PPPABCJ,1,Asked and accurate,PPP0129
PPPABDB,1,Asked and accurate,PPP0131
PPPABDD,1,Asked and accurate,PPP0133
PPPABDF,1,Asked and accurate,PPP0135
PPPABDH,1,Asked and accurate,PPP0137
PPPABDJ,1,Asked and accurate,PPP0139
PPPABEB,1,Asked and accurate,PPP0141
PPPABED,1,Asked and accurate,PPP0143
PPPABEF,1,Asked and accurate,PPP0145
PPPABEH,1,Asked and accurate,PPP0147
PPPABEJ,1,Asked and accurate,PPP0149
PPPABFB,1,Asked and accurate,PPP0151
PPPABFD,1,Asked and accurate,PPP0153
PPPABFF,1,Asked and accurate,PPP0155
PPPABFH,1,Asked and accurate,PPP0157
PPPABFJ,1,Asked and accurate,PPP0159
PPPABGB,1,Asked and accurate,PPP0161
PPPABGD,1,Asked and accurate,PPP0163
PPPABGF,1,Asked and accurate,PPP0165
PPPABGH,1,Asked and accurate,PPP0167
PPPABGJ,1,Asked and accurate,PPP0169
PPPABHB,1,Asked and accurate,PPP0171
PPPABHC,1,01 week,PPP0172
PPPABHD,1,01 week,PPP0173
PPPABHE,1,01 week,PPP0174
PPPABHF,1,01 week,PPP0175
PPPABHG,1,01 week,PPP0176
PPPABHH,1,01 week,PPP0177
PPPABHI,1,01 week,PPP0178
PPPABHJ,1,01 week,PPP0179
PPPABIA,1,01 week,PPP0180
PPPABIB,1,01 week,PPP0181
PPPABIC,1,01 week,PPP0182
PPPABID,1,01 week,PPP0183
PPPABIE,1,01 week,PPP0184
PPPABIF,1,01 week,PPP0185
PPPABIG,1,01 week,PPP0186
PPPABIH,1,01 week,PPP0187
PPPABII,1,01 week,PPP0188
PPPABIJ,1,01 week,PPP0189
PPPABJA,1,1-19% government pensions and benefits,PPP0190
PPPABJB,1,1-19% government pensions and benefits,PPP0191
PPPABJD,1,Asked and accurate,PPP0193
PPPABJF,1,Asked and accurate,PPP0195
PPPABJH,1,Asked and accurate,PPP0197
PPPABJJ,1,Asked and accurate,PPP0199
PPPACAB,1,Asked and accurate,PPP0201
PPPACAD,1,Asked and accurate,PPP0203
PPPACAF,1,Asked and accurate,PPP0205
PPPACAH,1,Asked and accurate,PPP0207
PPPACAJ,1,Asked and accurate,PPP0209
PPPACBB,1,Asked and accurate,PPP0211
PPPACBD,1,Asked and accurate,PPP0213
PPPACBE,1,1 LUMPSUM SUPER YEAR REC NA PSN,PPP0214
PPPACBF,1,Employer contributing - current,PPP0215
PPPACBG,1,Transferred to another superannuation scheme,PPP0216
PPPACBH,1,Army reserve,PPP0217
PPPACBJ,1,Asked and accurate,PPP0219
PPPACCB,1,Asked and accurate,PPP0221
PPPACCD,1,Asked and accurate,PPP0223
PPPACCF,1,Asked and accurate,PPP0225
PPPACCH,1,Asked and accurate,PPP0227
PPPACCJ,1,Asked and accurate,PPP0229
PPPACDB,1,Asked and accurate,PPP0231
PPPACDD,1,Asked and accurate,PPP0233
PPPACDF,1,Asked and accurate,PPP0235
PPPACDH,1,Asked and accurate,PPP0237
PPPACDI,1,01 week,PPP0238
PPPACEA,1,Asked and accurate,PPP0240
PPPACEC,1,Asked and accurate,PPP0242
PPPACEE,1,Asked and accurate,PPP0244
PPPACEG,1,Asked and accurate,PPP0246
PPPACEI,1,Asked and accurate,PPP0248
PPPACFA,1,Asked and accurate,PPP0250
PPPACFC,1,Asked and accurate,PPP0252
UUUAAAD,2,Family no. 2,UUU0003
UUUAAAE,2,Income unit no. 2,UUU0004
UUUAAAF,2,Married couple with dependents,UUU0005
UUUAAAG,2,2 persons,UUU0006
UUUAAAH,2,Income unit excluded from period income tables only,UUU0007
UUUAAAI,2,Family excluded from period income tables only,UUU0008
UUUAAAJ,2,Household excluded from period income tables only,UUU0009
UUUAABB,2,Victoria,UUU0011
UUUAABC,2,2 persons aged 0 to 14 years,UUU0012
UUUAABD,2,2 persons aged 15 to 64 years,UUU0013
