r_var_name,inflate,Label,HES1988,HES1993,HES1998,HES2003,HES2009,HES2015
total_dir_benefits,Yes,Direct benefits - weekly household total social assistance benefits in cash,DBEN,DBEN,DBEN,DBEN,DBEN,DBEN
total_ind_benefits,Yes,Indirect benefits - weekly household total social transfers in kind,,,IBEN,IBEN,IBEN,IBEN
total_ind_benefits_cents,,Indirect benefits - weekly household total social transfers in kind (in cents),IBEN,IBEN,,,,
ind_health,Yes,Indirect health benefits - weekly household total social transfers in kind for health,,,,UHLTOT,UHLTOT,UHLTOT
ind_health_cents,,Indirect health benefits - weekly household total social transfers in kind for health (in cents),UHLTOT,UHLTOT,UHLTOT,,,
ind_edu,Yes,Indirect education benefits - weekly household total social transfers in kind for education,,,,EDUB,EDUB,EDUB
ind_edu_cents,,Indirect education benefits - weekly household total social transfers in kind for education (in cents),EDUB,EDUB,EDUB,,,
ind_welfare,Yes,Indirect welfare - weekly household social transfers in kind for welfare (FIS),,TOTWELFB,,TOTWELFB,TOTWELFB,TOTWELFB
ind_welfare_cents,,Indirect welfare - weekly household social transfers in kind for welfare (FIS) (in cents),,,TOTWELFB,,,
ind_childcare_assist,Yes,Indirect childcare support - weekly household social transfers in kind for child care assistance (FIS),,,,WKLYCCB,WKLYCCA,WKLYCCAH
childcare_benefit,,Weekly HH Child Care Benefit,,,,,WKLYCCBF,WKLYCCBH
childcare_rebate,,Weekly HH Child Care Rebate,,,,,WKLYCCRF,WKLYCCRH
fin_stress_comm_org,,Assistance sought from welfare/community organisations due to shortage of money,,,CFWELFAR ,CFWELFAR,CFWELFAR,CFWELFAR
fin_stress_pawned,,Pawned or sold something due to shortage of money,,,CFPAWNSO,CFPAWNSO,CFPAWNSO,CFPAWNSO
fin_stress_family_help,,Sought financial help from friends/family due to a shortage of money,,,CFFAMILY,CFFAMILY,CFFAMILY,CFFAMILY
fin_stress_heating,,Unable to heat home due to shortage of money,,,CFNOHEAT,CFNOHEAT,CFNOHEAT,CFNOHEAT
fin_stress_skipped_meals,,Went without meals due to shortage of money,,,CFNOMEAL,CFNOMEAL,CFNOMEAL,CFNOMEAL
fin_stress_late_bills,,Whether could not pay gas/electricity/telephone bill on time due to shortage of money,,,CFELECTR,CFELECTR,CFELECTR,CFELECTR
fin_stress_late_rego,,Whether could not pay registration/insurance on time due to shortage of money,,,CFREGOIN,CFREGOIN,CFREGOIN,CFREGOIN
fin_stress_emergency_money,,Ability of household to raise emergency money,,,EMGMONEY,EMGMONEY,EMGMONEY,EMGMONEY
hh_std_living,,,,,,,STDLIVE,STDLIVE
hh_fin_missing_out,,,,,,,,CFSTSSMO
hh_fin_stress,,,,,,,,CFSTRSS
hh_fin_stress_missing_out,,,,,,,,TCFSTRSS
rent_assistance_amount,Yes,,,,,,,CWKCRAH
tenure,,,,DTENU,DTENU,TENURECF,TENURECF,TENURECF
pension_source,,,,,,,PSINC,PSINC
imputed_rent_net,Yes,,,,,,NETIR,NETIR
imputed_rent_gross,Yes,,,,,,GROSSIR,GROSSIR
rent,Yes,,,,,,WKRENTCH,WKRENTCH
mortgage_renovations,Yes,,,,,,TRPAY2CH,TRPAY2CH
motrgage_house,,,,,,,TRPAY1CH,TRPAY1CH
landlord_type,,,,,,,LDLRDHCF,LDLRDHCF
labour_force_status,,,,,,,LFSRH,LFSRH
disp_income_prev_year,,,,,,,,DISPPH8
kids_dependent,,,,,,,,DPKIDHBC
